lambda_per_min,days,congestion_rate_mean,congestion_rate_ci_low,congestion_rate_ci_high,avg_delay_min_mean,avg_delay_min_ci_low,avg_delay_min_ci_high,divert_rate_mean,divert_rate_ci_low,divert_rate_ci_high,avg_arrivals_per_day,avg_diverted_per_day
0.02,100,0.022950203287602316,0.018289006237505644,0.027611400337698988,-1.245201015075602,-1.2860091009875347,-1.2043929291636695,0.04111537329515995,0.03297649348100152,0.04925425310931838,21.87,0.89
0.1,100,0.08924745856264885,0.08560961054344178,0.09288530658185591,-0.03165875446008906,-0.15743238652315156,0.09411487760297343,0.1618288417005212,0.155659949547654,0.1679977338533884,106.91,17.41
0.2,100,0.16256941498455263,0.15991674194312727,0.165222088025978,3.8185986710699917,3.5912377292320476,4.045959612907936,0.32163046591601935,0.3162628316360471,0.32699810019599157,215.36,69.51
0.5,100,0.3030728087289228,0.30079830882660513,0.30534730863124043,6.994758516219052,6.792230213641842,7.197286818796263,0.6765465002489957,0.6745514233524325,0.6785415771455588,537.54,363.78
1.0,100,0.38616352201257875,0.38616352201257875,0.38616352201257875,0.6176373056990829,0.6176373056990829,0.6176373056990829,0.8138888888888886,0.8138888888888884,0.8138888888888887,1080.0,879.0
