lam,congestion_rate_mean,congestion_rate_ci_low,congestion_rate_ci_high,avg_delay_min_mean,avg_delay_min_ci_low,avg_delay_min_ci_high,divert_rate_mean,divert_rate_ci_low,divert_rate_ci_high,avg_arrivals_per_day,avg_diverted_per_day,dias,scenario
0.08,0.045672033000679305,0.043021564290803324,0.048322501710555285,1.957538745281031,1.846190754791153,2.0688867357709086,0.15931706510848576,0.15429236872123242,0.1643417614957391,86.475,13.9,200,viento
0.1,0.05162490401306039,0.04920714414538404,0.054042663880736745,2.6519261617065064,2.514382307757916,2.789470015655097,0.20135674982748988,0.1966971984013868,0.20601630125359296,108.565,22.045,200,viento
0.12,0.06023170760145906,0.057762173932495754,0.06270124127042236,3.2089751692489665,3.0444755465317757,3.3734747919661574,0.24356634369842012,0.2390852657038221,0.24804742169301813,129.515,31.725,200,viento
0.14,0.06527958966544889,0.0629436725024998,0.06761550682839798,3.9784179527411596,3.7874403189580805,4.169395586524239,0.28160861180438723,0.2776841102936462,0.28553311331512826,151.33,42.82,200,viento
