lam,congestion_rate_mean,congestion_rate_ci_low,congestion_rate_ci_high,avg_delay_min_mean,avg_delay_min_ci_low,avg_delay_min_ci_high,divert_rate_mean,divert_rate_ci_low,divert_rate_ci_high,avg_arrivals_per_day,avg_diverted_per_day,dias,scenario
0.02,0.014709742606491473,0.01188684276762231,0.01753264244536064,0.4701329520691695,0.3991602866166271,0.5411056175217118,0.03867968492971751,0.03302817383624042,0.0443311960231946,21.71,0.87,200,viento
0.1,0.05156879793107519,0.04917071658317216,0.05396687927897822,2.589871661499625,2.4627986258992025,2.7169446971000473,0.20147138740095877,0.19680126141031334,0.2061415133916042,108.565,22.06,200,viento
0.2,0.08105610208955684,0.07869623097910221,0.08341597320001147,5.7056869700178705,5.4968433691342415,5.9145305709014995,0.3837847712187784,0.3801444693457246,0.3874250730918322,216.07,83.195,200,viento
0.5,0.18513784141955505,0.18245523869452995,0.18782044414458016,10.484425248729952,10.273653943812468,10.695196553647436,0.6664413005737369,0.6647565186180117,0.668126082529462,538.87,359.275,200,viento
1.0,0.34698944662747727,0.3441935415676856,0.34978535168726893,16.97056132615015,16.73448743861669,17.20663521368361,0.8215879629629629,0.8209495514193654,0.8222263745065603,1080.0,887.315,200,viento
