lam,congestion_rate_mean,congestion_rate_ci_low,congestion_rate_ci_high,avg_delay_min_mean,avg_delay_min_ci_low,avg_delay_min_ci_high,divert_rate_mean,divert_rate_ci_low,divert_rate_ci_high,avg_arrivals_per_day,avg_diverted_per_day,dias
0.08,0.07569412418201565,0.07287523890835357,0.07851300945567774,1.0428786159772088,0.970139021199713,1.1156182107547046,0.130541027147879,0.1259098259591193,0.1351722283366387,86.475,11.375,200
0.1,0.08952854611064914,0.08706558624085882,0.09199150598043947,1.5490809265310004,1.4613335824298153,1.6368282706321855,0.16104629123335237,0.1566195160319815,0.16547306643472326,108.565,17.63,200
0.12,0.10730314186238617,0.10473366441869833,0.109872619306074,2.2276800060093995,2.1241103524975546,2.3312496595212444,0.19218573368216899,0.18790059468267403,0.19647087268166394,129.515,25.045,200
0.14,0.11881073387419448,0.11629379243181587,0.1213276753165731,2.92217915190914,2.775731433396097,3.0686268704221824,0.22465148561721093,0.2209455257141613,0.22835744552026058,151.33,34.155,200
