lam,congestion_rate_mean,congestion_rate_ci_low,congestion_rate_ci_high,avg_delay_min_mean,avg_delay_min_ci_low,avg_delay_min_ci_high,divert_rate_mean,divert_rate_ci_low,divert_rate_ci_high,avg_arrivals_per_day,avg_diverted_per_day,dias
0.08,0.07569412418201565,0.07287523890835357,0.07851300945567774,-0.4361572114158295,-0.5075571320368515,-0.3647572907948076,0.130541027147879,0.1259098259591193,0.1351722283366387,86.475,11.375,200
0.1,0.08952854611064914,0.08706558624085882,0.09199150598043947,0.0502972586310462,-0.03636558158585644,0.13696009884794885,0.16104629123335237,0.1566195160319815,0.16547306643472326,108.565,17.63,200
0.12,0.10730314186238617,0.10473366441869833,0.109872619306074,0.7074084479972892,0.6049632138741411,0.8098536821204373,0.19218573368216899,0.18790059468267403,0.19647087268166394,129.515,25.045,200
0.14,0.11881073387419448,0.11629379243181587,0.1213276753165731,1.3880289347621966,1.2430313636447243,1.5330265058796688,0.22465148561721093,0.2209455257141613,0.22835744552026058,151.33,34.155,200
