lam,congestion_rate_mean,congestion_rate_ci_low,congestion_rate_ci_high,avg_delay_min_mean,avg_delay_min_ci_low,avg_delay_min_ci_high,divert_rate_mean,divert_rate_ci_low,divert_rate_ci_high,avg_arrivals_per_day,avg_diverted_per_day,dias,scenario
0.02,0.022898740369181995,0.019897017194994513,0.025900463543369476,0.6954845102956017,0.5849142772152232,0.8060547433759802,0.03664582597677961,0.031243720862934605,0.042047931090624616,21.71,0.825,200,cierre
0.1,0.09089178326467533,0.08845389010485319,0.09332967642449747,2.4152144099924344,2.288325248637056,2.5421035713478126,0.16203337330798256,0.157642008243259,0.16642473837270613,108.565,17.74,200,cierre
0.2,0.16168609567518416,0.15941571074654956,0.16395648060381876,6.526865280890315,6.355839634049183,6.697890927731447,0.3291932349186075,0.3254123689519016,0.33297410088531343,216.07,71.42,200,cierre
0.5,0.30394550429593065,0.30244235884205606,0.30544864974980523,9.205084379869707,9.047031392043891,9.363137367695522,0.6852909355281966,0.6837131900467333,0.68686868100966,538.87,369.445,200,cierre
1.0,0.33025122121423595,0.33025122121423595,0.33025122121423595,1.417399767906826,1.417399767906826,1.417399767906826,0.828703703703704,0.828703703703704,0.828703703703704,1080.0,895.0,200,cierre
